Question,Conditions,Outcome,Explanation
Is marriage legally valid?,both parties of legal age; both consent freely; performed according to law,The marriage is valid under law.,"Consent, age, and compliance with formalities are required."
Can a tenant be evicted by the landlord?,tenant failed to pay rent; tenant violated lease terms; landlord followed due process,The landlord may legally evict the tenant.,"Eviction is allowed for non-payment or breach, with proper legal process."
Is a person guilty of theft?,property taken without consent; intent to permanently deprive the owner,The person is guilty of theft.,Theft requires unlawful taking with intent to permanently deprive.
Can a tenant be evicted by the landlord?,tenant failed to pay rent; tenant violated lease terms; landlord followed due process,The landlord may legally evict the tenant.,"Eviction is allowed for non-payment or breach, with proper legal process."
Is the employee eligible for unemployment benefits?,employee lost job through no fault of their own; employee is actively seeking work; employee meets state's earnings requirements,The employee is likely eligible for unemployment benefits.,"Eligibility typically depends on the reason for job loss, job seeking efforts, and past earnings."
Is the employee eligible for unemployment benefits?,employee quit voluntarily without good cause; employee was fired for misconduct,The employee is likely not eligible for unemployment benefits.,Quitting without good cause or being fired for misconduct usually disqualifies an applicant.
Is a person guilty of theft?,property taken without consent; intent to permanently deprive the owner,The person is guilty of theft.,Theft requires unlawful taking with intent to permanently deprive.
Can a tenant be evicted by the landlord?,tenant failed to pay rent; tenant violated lease terms; landlord followed due process,The landlord may legally evict the tenant.,"Eviction is allowed for non-payment or breach, with proper legal process."
Can a tenant be evicted by the landlord?,landlord did not provide notice; eviction bypassed court process,The eviction is unlawful.,Evictions without due process are illegal.
Can a tenant be evicted by the landlord?,landlord did not provide notice; eviction bypassed court process,The eviction is unlawful.,Evictions without due process are illegal.
Is marriage legally valid?,both parties of legal age; both consent freely; performed according to law,The marriage is valid under law.,"Consent, age, and compliance with formalities are required."
Is marriage legally valid?,both parties of legal age; both consent freely; performed according to law,The marriage is valid under law.,"Consent, age, and compliance with formalities are required."
Is a person guilty of theft?,person believed property was theirs; owner consented to temporary use,The person is not guilty of theft.,Good faith belief or consent can negate theft charges.
Is a contract legally enforceable?,contract formed under fraud or coercion,The contract is voidable or unenforceable.,Contracts without free consent may be void or voidable depending on circumstances.
Is a person guilty of theft?,property taken without consent; intent to permanently deprive the owner,The person is guilty of theft.,Theft requires unlawful taking with intent to permanently deprive.
Is marriage legally valid?,one party already married; consent obtained by fraud; prohibited relationship,The marriage is void or voidable.,"Bigamy, fraud, or prohibited relationships invalidate a marriage."
